sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name
0,강남,관악구,1.3,30,초급,관악산 자락길(무장애숲길)
1,강북,종로구,1.8,60,초급,흥인지문구간
2,강북,중구,1.8,60,초급,흥인지문구간
3,강북,종로구,4.0,150,중급,인왕산구간
4,강북,중구,1.8,60,초급,숭례문구간
5,강북,종로구,4.7,180,중급,백악구간
6,강북,중구,4.2,180,중급,남산구간
7,강북,성북구,2.1,60,초급,낙산구간
8,강북,종로구,2.1,60,초급,낙산구간
9,강북,서대문구,7.0,120,초급,안산 자락길
10,강북,종로구,2.5,60,초급,인왕산 자락길
11,강남,양천구,4.6,150,초급,신정산 자락길
12,강북,성북구,1.2,40,초급,북한산 자락길
13,강남,마포구,2.0,90,초급,매봉산 자락길
14,강남,동작구,0.5,20,초급,서달산 자락길
15,강북,동대문구,0.73,30,초급,배봉산 자락길
16,강남,강동구,0.7,20,초급,고덕산 자락길
17,강북,용산구,8.45,180,초급,용산한강길
18,강북,중구,8.45,180,초급,용산한강길
19,강북,용산구,8.13,120,초급,청계천길
20,강북,중구,8.13,120,초급,청계천길
21,강북,용산구,1.63,40,초급,전쟁기념관 산책길
22,강북,중구,1.63,40,초급,전쟁기념관 산책길
23,강북,용산구,3.3,60,중급,용산가족 산책길
24,강북,중구,3.3,60,중급,용산가족 산책길
25,강북,용산구,6.02,120,초급,덕수궁 산책길
26,강북,중구,6.02,120,초급,덕수궁 산책길
27,강북,용산구,2.29,60,초급,남산야외식물원 산책길
28,강북,중구,2.29,60,초급,남산야외식물원 산책길
29,강북,중구,9.17,180,중급,남산 순환 나들길
30,강북,중랑구,9.17,180,중급,남산 순환 나들길
31,강북,용산구,1.88,60,초급,한남매봉공원 산책길
32,강북,중구,1.88,60,초급,한남매봉공원 산책길
33,강북,광진구,1.89,120,초급,어린이대공원 산책길
34,강북,성동구,1.89,120,초급,어린이대공원 산책길
35,강북,광진구,2.78,180,고급,아차산 숲 나들길
36,강북,성동구,2.78,180,고급,아차산 숲 나들길
37,강북,광진구,2.93,90,초급,성동 송정둑길
38,강북,성동구,2.93,90,초급,성동 송정둑길
39,강북,광진구,5.22,120,초급,서울숲 공원 산책길
40,강북,성동구,5.22,120,초급,서울숲 공원 산책길
41,강북,광진구,8.82,210,중급,서울숲 남산 나들길
42,강북,성동구,8.82,210,중급,서울숲 남산 나들길
43,강북,동대문구,3.57,60,초급,정릉천길
44,강북,동대문구,1.83,60,초급,홍릉수목원길
45,강북,동대문구,3.51,120,중급,배봉산 답십리 나들길
46,강북,중랑구,3.73,120,중급,중랑캠핑숲나들길
47,강북,중랑구,5.68,120,초급,중랑천제방장미 벚꽃길
48,강북,중랑구,4.02,120,고급,용마산 나들길
49,강북,중랑구,5.51,150,중급,망우산숲나들길
50,강북,노원구,2.84,120,초급,당현천길
51,강북,노원구,3.96,90,초급,묵동천길
52,강북,노원구,4.59,90,초급,초안산 나들길(초록숲길)
53,강북,도봉구,4.59,90,초급,초안산 나들길(초록숲길)
54,강북,노원구,1.12,60,초급,월계근린공원 산책길
55,강북,노원구,7.39,270,고급,수락산 나들길(초록숲길)
56,강북,노원구,9.79,180,중급,불암산 나들길
57,강북,강북구,7.94,120,초급,우이천길
58,강북,도봉구,7.94,120,초급,우이천길
59,강북,강북구,0.21,20,초급,가오천길
60,강북,도봉구,0.21,20,초급,가오천길
61,강북,강북구,0.67,30,초급,대동천길
62,강북,도봉구,0.67,30,초급,대동천길
63,강북,강북구,2.78,60,초급,도봉천길
64,강북,도봉구,2.78,60,초급,도봉천길
65,강북,강북구,1.89,40,초급,방학천길
66,강북,도봉구,1.89,40,초급,방학천길
67,강북,강북구,7.95,150,중급,우이령 나들길
68,강북,도봉구,7.95,150,중급,우이령 나들길
69,강북,강북구,2.06,60,중급,오패산 나들길
70,강북,도봉구,2.06,60,중급,오패산 나들길
