sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name,img
113,강남,강남구,9.53,180,초급,양재천,"/img/othercourseimg/c113.jpg"
114,강남,강남구,6.02,150,중급,구룡산 나들길,"/img/othercourseimg/c114.jpg"
115,강남,강남구,4.8,180,중급,대모산 나들길,"/img/othercourseimg/c115.jpg"
116,강남,강남구,4.15,120,중급,선정릉나들길,"/img/othercourseimg/c116.jpg"
117,강남,송파구,30.21,480,고급,송파소리길,"/img/othercourseimg/c117.jpg"
118,강남,송파구,5.49,120,초급,성내천길,"/img/othercourseimg/c118.jpg"
119,강남,송파구,4.17,60,초급,석촌호수 산책길,"/img/othercourseimg/c119.jpg"
120,강남,송파구,3.67,180,중급,몽촌토성 나들길,"/img/othercourseimg/c120.jpg"
121,강남,강동구,5.21,180,중급,일자산 숲 나들길,"/img/othercourseimg/c121.jpg"
122,강남,강동구,3.98,90,초급,망월천길,"/img/othercourseimg/c122.jpg"
123,강남,강동구,4.18,90,초급,고덕천길,"/img/othercourseimg/c123.jpg"
124,강남,강동구,1.9,90,초급,고덕산 산책길,"/img/othercourseimg/c124.jpg"

